"freguesia_2013","dicofre_2013","municipio_2013","municipio_2013_cod","municipio_2002_cod","distrito_2013","distrito_2013_cod","nuts3_2013","nuts3_2013_cod","nuts3_2002_cod","nuts2_2013","nuts2_2013_cod","nuts1_2013","nuts1_2013_cod","pais","pais_cod","aces_2022","aces_2022_cod","ars_2022","ars_2022_cod"
"Aguada de Cima","010103","Águeda","16D0101","1610101","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Fermentelos","010109","Águeda","16D0101","1610101","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Macinhata do Vouga","010112","Águeda","16D0101","1610101","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Valongo do Vouga","010119","Águeda","16D0101","1610101","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"União das freguesias de Águeda e Borralha","010121","Águeda","16D0101","1610101","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"União das freguesias de Barrô e Aguada de Baixo","010122","Águeda","16D0101","1610101","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão","010123","Águeda","16D0101","1610101","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"União das freguesias de Recardães e Espinhel","010124","Águeda","16D0101","1610101","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"União das freguesias de Travassô e Óis da Ribeira","010125","Águeda","16D0101","1610101","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"União das freguesias de Trofa, Segadães e Lamas do Vouga","010126","Águeda","16D0101","1610101","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"União das freguesias do Préstimo e Macieira de Alcoba","010127","Águeda","16D0101","1610101","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Alquerubim","010202","Albergaria-a-Velha","16D0102","1610102","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Angeja","010203","Albergaria-a-Velha","16D0102","1610102","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Branca","010204","Albergaria-a-Velha","16D0102","1610102","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Ribeira de Fráguas","010206","Albergaria-a-Velha","16D0102","1610102","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Albergaria-a-Velha e Valmaior","010209","Albergaria-a-Velha","16D0102","1610102","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"São João de Loure e Frossos","010210","Albergaria-a-Velha","16D0102","1610102","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Avelãs de Caminho","010304","Anadia","16D0103","1610103","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Avelãs de Cima","010305","Anadia","16D0103","1610103","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Moita","010307","Anadia","16D0103","1610103","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Sangalhos","010309","Anadia","16D0103","1610103","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"São Lourenço do Bairro","010310","Anadia","16D0103","1610103","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Vila Nova de Monsarros","010312","Anadia","16D0103","1610103","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Vilarinho do Bairro","010313","Anadia","16D0103","1610103","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas","010316","Anadia","16D0103","1610103","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"União das freguesias de Arcos e Mogofores","010317","Anadia","16D0103","1610103","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"União das freguesias de Tamengos, Aguim e Óis do Bairro","010318","Anadia","16D0103","1610103","Aveiro","01","Região de Aveiro","16D","161","Centro","16","Continente","1","Portugal","PT","ACES Baixo Vouga","201","Centro","12"
"Alvarenga","010402","Arouca","11A0104","1160104","Aveiro","01","Área Metropolitana do Porto","11A","116","Norte","11","Continente","1","Portugal","PT","ACES Feira/Arouca","120","Norte","11"
"Chave","010407","Arouca","11A0104","1160104","Aveiro","01","Área Metropolitana do Porto","11A","116","Norte","11","Continente","1","Portugal","PT","ACES Feira/Arouca","120","Norte","11"
"Escariz","010409","Arouca","11A0104","1160104","Aveiro","01","Área Metropolitana do Porto","11A","116","Norte","11","Continente","1","Portugal","PT","ACES Feira/Arouca","120","Norte","11"
"Fermedo","010411","Arouca","11A0104","1160104","Aveiro","01","Área Metropolitana do Porto","11A","116","Norte","11","Continente","1","Portugal","PT","ACES Feira/Arouca","120","Norte","11"
"Mansores","010413","Arouca","11A0104","1160104","Aveiro","01","Área Metropolitana do Porto","11A","116","Norte","11","Continente","1","Portugal","PT","ACES Feira/Arouca","120","Norte","11"
